,Address Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
610,Commercial,"301 SEVENTH ST, Traverse City, Michigan, USA","301 Seventh St, Traverse City, MI 49684, USA",1,1333,58017,6000,5.8,405.0
611,Commercial,"1130 E EIGHTH ST, Traverse City, Michigan, USA","1132 E Eighth St, Traverse City, MI 49686, USA",0,1321,7541,6000,6.3,440.0
612,Commercial,"1237 HASTINGS ST, Traverse City, Michigan, USA","1237 Hastings St, Traverse City, MI 49686, USA",1,1320,8316,6000,6.3,440.0
613,Commercial,"1112 S GARFIELD AVE, Traverse City, Michigan, USA","1112 S Garfield Ave, Traverse City, MI 49686, USA",1,1390,1903,5000,6.5,458.0
614,Commercial,"124 N DIVISION ST, Traverse City, Michigan, USA","124 N Division St B, Traverse City, MI 49684, USA",1,1233,2696,5000,6.8,476.0
615,Commercial,"1609 PARK DR, Traverse City, Michigan, USA","1609 Park Dr, Traverse City, MI 49686, USA",1,1311,3471,5000,6.3,440.0
616,Commercial,"537 S GARFIELD AVE, Traverse City, Michigan, USA","537 B S Garfield Ave, Traverse City, MI 49686, USA",1,1315,1956,5000,6.3,440.0
617,Commercial,"0 FRONT & PARKWAY, Traverse City, Michigan, USA","827 W Front St, Traverse City, MI 49684, USA",0,1345,828,4000,7.3,511.0
618,Commercial,"880 BALDWIN ST, Traverse City, Michigan, USA",Not Found,,,,,,
619,Commercial,"522 W FOURTEENTH ST, Traverse City, Michigan, USA","524 W Fourteenth St, Traverse City, MI 49684, USA",0,1351,8369,6000,6.3,440.0
620,Commercial,"1139 E EIGHTH ST, Traverse City, Michigan, USA","1139 E Eighth St, Traverse City, MI 49686, USA",1,1256,969,4000,6.8,476.0
621,Commercial,"720 FITZHUGH DR, Traverse City, Michigan, USA",Not Found,,,,,,
622,Commercial,"1239 MILLIKEN DR, Traverse City, Michigan, USA",Not Found,,,,,,
623,Commercial,"607 RANDOLPH ST, Traverse City, Michigan, USA","607 Randolph St Suite 102, Traverse City, MI 49684, USA",1,1434,405,2000,5.8,405.0
624,Commercial,"817 BAY ST, Traverse City, Michigan, USA","817 Bay St, Traverse City, MI 49684, USA",1,1307,2608,5000,6.5,458.0
625,Commercial,"1645 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1567 W South Airport Rd, Traverse City, MI 49686, USA",0,1385,5039,6000,6.0,423.0
626,Commercial,"701 THIRD ST, Traverse City, Michigan, USA","715 Third St, Traverse City, MI 49684, USA",0,1222,511,2000,7.3,511.0
627,Commercial,"803 W FRONT ST, Traverse City, Michigan, USA","801 W Front St, Traverse City, MI 49684, USA",0,1360,6184,6000,6.0,423.0
628,Commercial,"800 COTTAGEVIEW DR STE, Traverse City, Michigan, USA","1200 W Eleventh St, Traverse City, MI 49684, USA",0,1399,63197,6000,5.8,405.0
629,Commercial,"511 E EIGHTH ST, Traverse City, Michigan, USA","511 E Eighth St, Traverse City, MI 49686, USA",1,1301,2678,5000,6.5,458.0
630,Commercial,"1129 WOODMERE AVE STE, Traverse City, Michigan, USA","1131 Woodmere Ave, Traverse City, MI 49686, USA",0,1322,19644,6000,6.3,440.0
631,Commercial,"1475 PREMIER ST, Traverse City, Michigan, USA","1475 Premier St, Traverse City, MI 49686, USA",1,1310,3066,5000,6.3,440.0
632,Commercial,"1134 E EIGHTH ST, Traverse City, Michigan, USA","1144 E Eighth St, Traverse City, MI 49686, USA",0,1410,793,6000,6.3,440.0
633,Commercial,"0 W FOURTEENTH ST & S UNION, Traverse City, Michigan, USA",Not Found,,,,,,
634,Commercial,"225 W FOURTEENTH ST, Traverse City, Michigan, USA","225 W Fourteenth St, Traverse City, MI 49684, USA",1,1381,1762,4000,7.0,493.0
635,Commercial,"208 N CEDAR ST, Traverse City, Michigan, USA","129 N Cedar St, Traverse City, MI 49684, USA",0,1400,617,4000,7.0,493.0
636,Commercial,"341 WASHINGTON ST, Traverse City, Michigan, USA","341 Washington St, Traverse City, MI 49684, USA",1,1349,11610,6000,6.3,440.0
637,Commercial,"124 BEECH ST, Traverse City, Michigan, USA","124 Beech St, Traverse City, MI 49684, USA",1,1311,3753,5000,6.3,440.0
638,Commercial,"1550 E FRONT ST, Traverse City, Michigan, USA","1560 E Front St, Traverse City, MI 49686, USA",0,1166,2643,3000,7.3,511.0
639,Commercial,"1710 US 31 NORTH, Traverse City, Michigan, USA","1808 Division St, Traverse City, MI 49685, USA",0,1079,546,500,7.8,546.0
640,Commercial,"416 E FRONT ST, Traverse City, Michigan, USA","416 E Front St, Traverse City, MI 49686, USA",1,1321,1603,5000,6.3,440.0
641,Commercial,"3191 LOGAN VALLEY RD, Traverse City, Michigan, USA","3241 Racquet Club Dr, Traverse City, MI 49684, USA",0,1446,7047,7000,5.8,405.0
642,Commercial,"666 BAY HILL DR, Traverse City, Michigan, USA","625 Bay Hill Dr, Traverse City, MI 49684, USA",0,1344,6713,6000,6.3,440.0
643,Commercial,"2000 RANDOLPH ST, Traverse City, Michigan, USA",Not Found,,,,,,
644,Commercial,"0 FRONT & DIVISION ST, Traverse City, Michigan, USA","827 W Front St, Traverse City, MI 49684, USA",0,1345,828,4000,7.3,511.0
645,Commercial,"6536 MISSION RIDGE, Traverse City, Michigan, USA","6532 Mission Ridge, Traverse City, MI 49686, USA",0,1231,5479,5000,6.8,476.0
646,Commercial,"518 E FRONT ST, Traverse City, Michigan, USA","518 E Front St, Traverse City, MI 49686, USA",1,1339,6818,6000,6.3,440.0
647,Commercial,"10765 PINE BLUFF DR, Traverse City, Michigan, USA","10765 Pine Bluff Dr, Traverse City, MI 49684, USA",1,1388,2061,5000,6.5,458.0
648,Commercial,"1142 E EIGHTH ST, Traverse City, Michigan, USA","1142 E Eighth St #104, Traverse City, MI 49686, USA",1,1321,2978,5000,6.3,440.0
649,Commercial,"885 ROBINWOOD CT, Traverse City, Michigan, USA","885 Robinwood Ct, Traverse City, MI 49686, USA",1,1156,2132,3000,7.3,511.0
650,Commercial,"333 W GRANDVIEW PKWY, Traverse City, Michigan, USA","333 W Grandview Pkwy, Traverse City, MI 49684, USA",1,1329,11822,6000,6.3,440.0
651,Commercial,"106 ROSE ST, Traverse City, Michigan, USA","106 Rose St, Traverse City, MI 49686, USA",1,1253,440,2000,6.3,440.0
652,Commercial,"1135 E EIGHTH ST, Traverse City, Michigan, USA","1135 E Eighth St, Traverse City, MI 49686, USA",1,1410,1991,5000,6.3,440.0
653,Commercial,"3566 N US 31 SOUTH, Traverse City, Michigan, USA",Not Found,,,,,,
654,Commercial,"119 E EIGHTH ST HOUSE, Traverse City, Michigan, USA","119 E Eighth St, Traverse City, MI 49684, USA",1,1332,1674,6000,6.3,440.0
655,Commercial,"1505 KENT ST, Traverse City, Michigan, USA","1505 Kent St, Traverse City, MI 49686, USA",1,1278,6131,5000,6.5,458.0
656,Commercial,"1545 S DIVISION ST, Traverse City, Michigan, USA","1545 S Division St Suite 118, Traverse City, MI 49684, USA",1,1302,12280,5000,6.3,440.0
657,Commercial,"1725 S UNION ST, Traverse City, Michigan, USA",Not Found,,,,,,
658,Commercial,"2779 AERO PARK DR, Traverse City, Michigan, USA",Not Found,,,,,,
659,Commercial,"309 W FRONT ST, Traverse City, Michigan, USA",Not Found,,,,,,
660,Commercial,"2005 EASTERN AVE, Traverse City, Michigan, USA",Not Found,,,,,,
661,Commercial,"501 BAY ST, Traverse City, Michigan, USA","501 Bay St, Traverse City, MI 49684, USA",1,1314,476,2000,6.8,476.0
662,Commercial,"2827 CASS RD, Traverse City, Michigan, USA","2827 Cass Rd, Traverse City, MI 49684, USA",1,1321,6272,6000,6.3,440.0
663,Commercial,"432 MUNSON PL, Traverse City, Michigan, USA","432 Munson Pl, Traverse City, MI 49686, USA",1,1310,3894,5000,6.5,458.0
664,Commercial,"1450 BARLOW ST, Traverse City, Michigan, USA","1450 Barlow St, Traverse City, MI 49686, USA",1,1438,1568,6000,5.8,405.0
665,Commercial,"221 GARLAND ST STE, Traverse City, Michigan, USA","221 Garland St, Traverse City, MI 49684, USA",1,1327,7083,6000,6.3,440.0
666,Commercial,"1373 BARLOW ST, Traverse City, Michigan, USA","1373 Barlow St, Traverse City, MI 49686, USA",1,1318,6906,5000,6.3,440.0
667,Commercial,"116 E FRONT ST, Traverse City, Michigan, USA","114 E Front St # 205, Traverse City, MI 49684, USA",0,1250,4686,5000,6.8,476.0
668,Commercial,"777 LYNCH DR, Traverse City, Michigan, USA","811 Lynch Dr, Traverse City, MI 49686, USA",0,1322,47129,6000,6.3,440.0
669,Commercial,"2381 CASS RD, Traverse City, Michigan, USA","2344 Cass Rd, Traverse City, MI 49684, USA",0,1375,1462,6000,6.3,440.0
670,Commercial,"736 BARLOW ST, Traverse City, Michigan, USA","732 Barlow St, Traverse City, MI 49686, USA",0,1410,951,5000,6.3,440.0
671,Commercial,"1117 CARVER ST, Traverse City, Michigan, USA","1117 Carver St, Traverse City, MI 49686, USA",1,1275,2185,5000,6.5,458.0
672,Commercial,"1005 WOODMERE AVE, Traverse City, Michigan, USA","1005 Woodmere Ave, Traverse City, MI 49686, USA",1,1441,722,6000,6.0,423.0
673,Commercial,"1147 HASTINGS ST, Traverse City, Michigan, USA","1145 Hastings St, Traverse City, MI 49686, USA",0,1320,51128,5000,6.3,440.0
674,Commercial,"124 N DIVISION ST, Traverse City, Michigan, USA","124 N Division St B, Traverse City, MI 49684, USA",1,1233,2696,5000,6.8,476.0
675,Commercial,"236 1/2 E FRONT ST, Traverse City, Michigan, USA","240 E Front St, Traverse City, MI 49684, USA",0,1389,4845,6000,6.3,440.0
676,Commercial,"1525 S DIVISION ST, Traverse City, Michigan, USA","1545 S Division St Suite 118, Traverse City, MI 49684, USA",0,1302,12280,5000,6.3,440.0
677,Commercial,"959 LYNCH DR, Traverse City, Michigan, USA","3002 N Garfield Rd, Traverse City, MI 49686, USA",0,1341,1163,5000,6.8,476.0
678,Commercial,"810 COTTAGEVIEW DR, Traverse City, Michigan, USA","810 Cottageview Dr #102, Traverse City, MI 49684, USA",1,1373,4986,6000,6.0,423.0
679,Commercial,"880 PARSONS RD, Traverse City, Michigan, USA","880 Parsons Rd, Traverse City, MI 49686, USA",1,1330,111418,6000,6.0,423.0
680,Commercial,"3423 CASS RD, Traverse City, Michigan, USA","3423 Cass Rd, Traverse City, MI 49684, USA",1,1376,2361,6000,6.3,440.0
681,Commercial,"810 COTTAGEVIEW DR, Traverse City, Michigan, USA","810 Cottageview Dr #102, Traverse City, MI 49684, USA",1,1373,4986,6000,6.0,423.0
682,Commercial,"1732 BARLOW ST, Traverse City, Michigan, USA","1720 Barlow St, Traverse City, MI 49686, USA",0,1336,1462,6000,6.3,440.0
683,Commercial,"6467 MISSION RIDGE, Traverse City, Michigan, USA","6465 Mission Ridge, Traverse City, MI 49686, USA",0,1309,4651,5000,6.3,440.0
684,Commercial,"335 E STATE ST, Traverse City, Michigan, USA","335 E State St, Traverse City, MI 49684, USA",1,1425,2555,6000,5.8,405.0
685,Commercial,"0 VETERANS DR & BOUGHEY ST, Traverse City, Michigan, USA","339 Boughey St, Traverse City, MI 49684, USA",0,1272,1656,4000,7.0,493.0
686,Commercial,"1670 BARLOW ST, Traverse City, Michigan, USA","1670 Barlow St, Traverse City, MI 49686, USA",1,1324,12350,6000,6.3,440.0
687,Commercial,"404 N DIVISION ST, Traverse City, Michigan, USA","320 N Division St, Traverse City, MI 49684, USA",0,1340,987,6000,6.3,440.0
688,Commercial,"1126 CARVER ST, Traverse City, Michigan, USA","1126 Carver St, Traverse City, MI 49686, USA",1,1406,2132,6000,6.0,423.0
689,Commercial,"1142 E EIGHTH ST, Traverse City, Michigan, USA","1142 E Eighth St #104, Traverse City, MI 49686, USA",1,1321,2978,5000,6.3,440.0
690,Commercial,"1192 AIRPORT ACCESS RD, Traverse City, Michigan, USA",Not Found,,,,,,
691,Commercial,"403 FAIR ST, Traverse City, Michigan, USA","1404 Beadle St, Traverse City, MI 49686, USA",0,1326,899,5000,6.8,476.0
692,Commercial,"1125 WEST CIVIC CENTER DR, Traverse City, Michigan, USA","1125 W Civic Center Dr, Traverse City, MI 49686, USA",1,1272,6695,5000,6.5,458.0
693,Commercial,"708 RANDOLPH ST, Traverse City, Michigan, USA","415 N Division St, Traverse City, MI 49684, USA",0,1415,2784,6000,6.0,423.0
694,Commercial,"413 S UNION ST, Traverse City, Michigan, USA","413 S Union St, Traverse City, MI 49684, USA",1,1209,1022,4000,7.3,511.0
695,Commercial,"865 MUNSON AVE, Traverse City, Michigan, USA","861 Munson Ave, Traverse City, MI 49686, USA",0,1181,1779,4000,7.3,511.0
696,Commercial,"522 E FRONT ST, Traverse City, Michigan, USA","524 E Front St, Traverse City, MI 49686, USA",0,1428,5233,6000,5.8,405.0
697,Commercial,"1009 E FRONT ST CAR, Traverse City, Michigan, USA",Not Found,,,,,,
698,Commercial,"1566 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
699,Commercial,"301 W GRANDVIEW PKWY, Traverse City, Michigan, USA","301 W Grandview Pkwy, Traverse City, MI 49684, USA",1,1447,3488,7000,5.8,405.0
700,Commercial,"3229 LOGAN VALLEY RD, Traverse City, Michigan, USA","3229 Logan Valley Rd, Traverse City, MI 49684, USA",1,1420,7153,6000,5.8,405.0
701,Commercial,"605 THIRD ST, Traverse City, Michigan, USA","605 Third St, Traverse City, MI 49684, USA",1,1336,3154,6000,6.3,440.0
702,Commercial,"1691 BAY HILL TER, Traverse City, Michigan, USA","1681 Bay Hill Terrace, Traverse City, MI 49684, USA",0,1431,4563,6000,5.8,405.0
703,Commercial,"118 1/2 E FRONT ST, Traverse City, Michigan, USA","118 1/2 E Front St, Traverse City, MI 49684, USA",1,1323,3066,6000,6.3,440.0
704,Commercial,"1026 HANNAH AVE, Traverse City, Michigan, USA","1026 Hannah Ave Ste. A, Traverse City, MI 49686, USA",1,1320,8404,6000,6.3,440.0
705,Commercial,"107 CASS ST, Traverse City, Michigan, USA","107 Cass St ste d, Traverse City, MI 49684, USA",1,1348,12157,6000,6.0,423.0
706,Commercial,"1793 LINDEN AVE, Traverse City, Michigan, USA",Not Found,,,,,,
707,Commercial,"748 MUNSON AVE STE, Traverse City, Michigan, USA","752 Munson Ave, Traverse City, MI 49686, USA",0,1352,2202,6000,6.3,440.0
708,Commercial,"151 RAILROAD AVE, Traverse City, Michigan, USA","151 Railroad Ave, Traverse City, MI 49686, USA",1,1412,3048,6000,5.8,405.0
709,Commercial,"228 E FRONT ST, Traverse City, Michigan, USA","234 E Front St, Traverse City, MI 49684, USA",0,1320,4933,6000,6.3,440.0
710,Commercial,"956 WALNUT ST, Traverse City, Michigan, USA","958 Walnut St, Traverse City, MI 49686, USA",0,1222,775,3000,7.5,529.0
711,Commercial,"1104 BARLOW ST, Traverse City, Michigan, USA","1104 Barlow St, Traverse City, MI 49686, USA",1,1329,2378,6000,6.3,440.0
712,Commercial,"911 SEVENTH ST, Traverse City, Michigan, USA","909 Seventh St, Traverse City, MI 49684, USA",0,1306,3682,5000,6.5,458.0
713,Commercial,"2896 GLEN DR, Traverse City, Michigan, USA","2896 Glen Dr, Traverse City, MI 49686, USA",1,1279,4017,5000,6.8,476.0
714,Commercial,"732 S GARFIELD AVE, Traverse City, Michigan, USA","732 S Garfield Ave, Traverse City, MI 49686, USA",1,1439,10131,7000,5.8,405.0
715,Commercial,"2811 CASS RD, Traverse City, Michigan, USA","2811 Cass Rd, Traverse City, MI 49684, USA",1,1325,6818,6000,6.3,440.0
716,Commercial,"1040 WALNUT ST, Traverse City, Michigan, USA","1040 Walnut St, Traverse City, MI 49686, USA",1,1434,1515,6000,6.3,440.0
717,Commercial,"129 E FRONT ST STE, Traverse City, Michigan, USA","129 E Front St Suite 200, Traverse City, MI 49684, USA",1,1385,2414,6000,6.3,440.0
718,Commercial,"1186 AIRPORT ACCESS RD, Traverse City, Michigan, USA","1190 Airport Access Rd, Traverse City, MI 49686, USA",0,1346,8210,6000,6.3,440.0
719,Commercial,"703 PARSONS RD, Traverse City, Michigan, USA","707 Parsons Rd, Traverse City, MI 49686, USA",0,1210,1691,4000,7.0,493.0
720,Commercial,"0 PENINSULA DR & EASTERN AV, Traverse City, Michigan, USA",Not Found,,,,,,
721,Commercial,"845 ROBINWOOD CT, Traverse City, Michigan, USA","845 Robinwood Ct, Traverse City, MI 49686, USA",1,1097,3083,3000,7.8,546.0
722,Commercial,"1200 RAMSDELL ST, Traverse City, Michigan, USA","1200 Ramsdell St, Traverse City, MI 49684, USA",1,1293,5180,5000,6.5,458.0
723,Commercial,"837 ROBINWOOD CT, Traverse City, Michigan, USA","837 Robinwood Ct, Traverse City, MI 49686, USA",1,1147,2590,3000,7.3,511.0
724,Commercial,"1844 OAK HOLLOW DR, Traverse City, Michigan, USA","1844 Oak Hollow Dr, Traverse City, MI 49686, USA",1,1367,3259,6000,6.0,423.0
725,Commercial,"821 S ELMWOOD AVE STE, Traverse City, Michigan, USA","821 S Elmwood Ave Unit D, Traverse City, MI 49684, USA",1,1407,2185,6000,6.0,423.0
726,Commercial,"722 WATCH HILL LN, Traverse City, Michigan, USA","720 Watch Hill Ln, Traverse City, MI 49684, USA",0,1307,3841,5000,6.5,458.0
727,Commercial,"1783 LINDEN AVE, Traverse City, Michigan, USA",Not Found,,,,,,
728,Commercial,"502 E FRONT ST, Traverse City, Michigan, USA","502a E Front St, Traverse City, MI 49686, USA",0,1310,2149,5000,6.3,440.0
729,Commercial,"814 CENTRE ST, Traverse City, Michigan, USA","810 Centre St, Traverse City, MI 49686, USA",0,1324,2572,5000,6.5,458.0
730,Commercial,"920 HASTINGS ST, Traverse City, Michigan, USA","920 Hastings St STE D, Traverse City, MI 49686, USA",1,1307,13707,5000,6.3,440.0
731,Commercial,"720 WAYNE ST, Traverse City, Michigan, USA","720 Wayne St, Traverse City, MI 49684, USA",1,1440,18711,7000,5.8,405.0
732,Commercial,"1477 NEWPORT ST HOUSE, Traverse City, Michigan, USA","1477 Newport St, Traverse City, MI 49686, USA",1,1430,846,6000,6.0,423.0
733,Commercial,"2815 CASS RD, Traverse City, Michigan, USA","2811 Cass Rd, Traverse City, MI 49684, USA",0,1325,6818,6000,6.3,440.0
734,Commercial,"808 W FRONT ST, Traverse City, Michigan, USA","808 W Front St, Traverse City, MI 49684, USA",1,1265,1269,4000,6.8,476.0
735,Commercial,"1137 WOODMERE AVE, Traverse City, Michigan, USA","1137 Woodmere Ave, Traverse City, MI 49686, USA",1,1408,6360,6000,5.8,405.0
736,Commercial,"737 WOODMERE AVE, Traverse City, Michigan, USA","739 Woodmere Ave, Traverse City, MI 49686, USA",0,1331,10342,5000,6.3,440.0
737,Commercial,"514 1/2 E FRONT ST, Traverse City, Michigan, USA","514 E Front St, Traverse City, MI 49686, USA",1,1319,1727,5000,6.5,458.0
738,Commercial,"226 E SIXTEENTH ST, Traverse City, Michigan, USA","226 E Sixteenth St Suite B, Traverse City, MI 49684, USA",1,1310,8792,5000,6.3,440.0
739,Commercial,"790 INDIAN TRAIL BLVD, Traverse City, Michigan, USA","790 Indian Trail Blvd, Traverse City, MI 49686, USA",1,1206,3189,3000,7.5,529.0
740,Commercial,"1375 YELLOW DR, Traverse City, Michigan, USA",Not Found,,,,,,
741,Commercial,"125 E STATE ST, Traverse City, Michigan, USA","Parking lot, 125 E State St, Traverse City, MI 49684, USA",0,1341,969,6000,6.3,440.0
742,Commercial,"3950 SILVER LAKE RD, Traverse City, Michigan, USA",Not Found,,,,,,
743,Commercial,"315 N DIVISION ST, Traverse City, Michigan, USA","315t N Division St, Traverse City, MI 49684, USA",0,1431,4916,6000,5.8,405.0
744,Commercial,"102 W FRONT ST FIRE, Traverse City, Michigan, USA","102 W Front St, Traverse City, MI 49684, USA",1,1372,5567,6000,6.3,440.0
745,Commercial,"114 E FRONT ST, Traverse City, Michigan, USA","114 E Front St # 205, Traverse City, MI 49684, USA",1,1250,4686,5000,6.8,476.0
746,Commercial,"645 E EIGHTH ST, Traverse City, Michigan, USA","647 E Eighth St, Traverse City, MI 49686, USA",0,1199,846,3000,7.8,546.0
747,Commercial,"431 MUNSON AVE, Traverse City, Michigan, USA","431 Munson Ave Ste C, Traverse City, MI 49686, USA",1,1342,5356,6000,6.3,440.0
748,Commercial,"312 S UNION ST, Traverse City, Michigan, USA","322 S Union St, Traverse City, MI 49684, USA",0,1400,6378,6000,6.0,423.0
749,Commercial,"140 E FRONT ST, Traverse City, Michigan, USA","140 E Front St # B, Traverse City, MI 49684, USA",1,1387,5197,6000,6.0,423.0
750,Commercial,"814 S GARFIELD AVE, Traverse City, Michigan, USA","814 S Garfield Ave, Traverse City, MI 49686, USA",1,1256,440,3000,6.3,440.0
751,Commercial,"0 WEATHER STATION, Traverse City, Michigan, USA","515 Franklin St, Traverse City, MI 49686, USA",0,1421,916,5000,6.5,458.0
752,Commercial,"1133 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1133 W South Airport Rd, Traverse City, MI 49686, USA",1,1295,9426,5000,6.5,458.0
753,Commercial,"515 W FOURTEENTH ST, Traverse City, Michigan, USA","515 W Fourteenth St # C, Traverse City, MI 49684, USA",1,1438,5426,7000,5.8,405.0
754,Commercial,"940 E EIGHTH ST, Traverse City, Michigan, USA","940 E Eighth St, Traverse City, MI 49686, USA",1,1412,916,5000,6.5,458.0
755,Commercial,"309 S UNION ST, Traverse City, Michigan, USA","303 S Union St, Traverse City, MI 49684, USA",0,1433,1744,6000,5.8,405.0
756,Commercial,"630 S GARFIELD AVE, Traverse City, Michigan, USA",Not Found,,,,,,
757,Commercial,"693 PARSONS RD, Traverse City, Michigan, USA",Not Found,,,,,,
758,Commercial,"537 BAY ST, Traverse City, Michigan, USA","539 Bay St, Traverse City, MI 49684, USA",0,1278,2731,5000,6.5,458.0
759,Commercial,"507 W FRONT ST, Traverse City, Michigan, USA","509 W Front St, Traverse City, MI 49684, USA",0,1381,6325,6000,6.0,423.0
760,Commercial,"2358 CASS RD, Traverse City, Michigan, USA","2358 Cass Rd, Traverse City, MI 49684, USA",1,1330,8069,6000,6.3,440.0
761,Commercial,"1681 BAY HILL TER, Traverse City, Michigan, USA","1681 Bay Hill Terrace, Traverse City, MI 49684, USA",1,1431,4563,6000,5.8,405.0
762,Commercial,"836 HASTINGS ST EHEAT, Traverse City, Michigan, USA","836 Hastings St, Traverse City, MI 49686, USA",1,1327,581,5000,6.5,458.0
763,Commercial,"208 E FRONT ST, Traverse City, Michigan, USA","210 E Front St, Traverse City, MI 49684, USA",0,1327,3365,5000,6.3,440.0
764,Commercial,"1219 E FRONT ST, Traverse City, Michigan, USA","1213 E Front St, Traverse City, MI 49686, USA",0,1313,15680,5000,6.3,440.0
765,Commercial,"260 E TWELFTH ST, Traverse City, Michigan, USA","260 E Twelfth St, Traverse City, MI 49684, USA",1,1312,4898,5000,6.3,440.0
766,Commercial,"827 W FRONT ST, Traverse City, Michigan, USA","827 W Front St, Traverse City, MI 49684, USA",1,1345,828,4000,7.3,511.0
767,Commercial,"1129 WOODMERE AVE, Traverse City, Michigan, USA","1131 Woodmere Ave, Traverse City, MI 49686, USA",0,1322,19644,6000,6.3,440.0
768,Commercial,"943 LAKE RIDGE DR, Traverse City, Michigan, USA",Not Found,,,,,,
769,Commercial,"537 BAY ST, Traverse City, Michigan, USA","539 Bay St, Traverse City, MI 49684, USA",0,1278,2731,5000,6.5,458.0
770,Commercial,"127 S UNION ST, Traverse City, Michigan, USA","127 S Union St, Traverse City, MI 49684, USA",1,1420,1145,6000,6.3,440.0
771,Commercial,"141 E FRONT ST, Traverse City, Michigan, USA","141 E Front St, Traverse City, MI 49684, USA",1,1284,2255,5000,6.5,458.0
772,Commercial,"920 HASTINGS ST, Traverse City, Michigan, USA","920 Hastings St STE D, Traverse City, MI 49686, USA",1,1307,13707,5000,6.3,440.0
773,Commercial,"1781 S GARFIELD AVE, Traverse City, Michigan, USA","1781 S Garfield Ave, Traverse City, MI 49686, USA",1,1331,13531,6000,6.3,440.0
774,Commercial,"704 S GARFIELD AVE, Traverse City, Michigan, USA","712 S Garfield Ave, Traverse City, MI 49686, USA",0,1415,2167,6000,6.3,440.0
775,Commercial,"3147 LOGAN VALLEY RD, Traverse City, Michigan, USA","3149 Logan Valley Rd, Traverse City, MI 49684, USA",0,1436,5004,7000,5.8,405.0
776,Commercial,"2421 AERO PARK DR, Traverse City, Michigan, USA",Not Found,,,,,,
777,Commercial,"3691 CASS RD, Traverse City, Michigan, USA","3691 S Cass St, Traverse City, MI 49684, USA",1,1264,6395,5000,6.5,458.0
778,Commercial,"715 E STATE ST STE, Traverse City, Michigan, USA","715 E State St, Traverse City, MI 49686, USA",1,1417,3013,6000,6.0,423.0
779,Commercial,"202 E STATE ST, Traverse City, Michigan, USA","202 E State St, Traverse City, MI 49684, USA",1,1437,9250,7000,5.8,405.0
780,Commercial,"431 MUNSON AVE, Traverse City, Michigan, USA","431 Munson Ave Ste C, Traverse City, MI 49686, USA",1,1342,5356,6000,6.3,440.0
781,Commercial,"1142 E EIGHTH ST, Traverse City, Michigan, USA","1142 E Eighth St #104, Traverse City, MI 49686, USA",1,1321,2978,5000,6.3,440.0
782,Commercial,"1050 SILVER DR, Traverse City, Michigan, USA","1050 Silver Dr, Traverse City, MI 49684, USA",1,1442,11364,7000,5.8,405.0
783,Commercial,"328 MUNSON AVE STE, Traverse City, Michigan, USA","328 Munson Ave Suite B, Traverse City, MI 49686, USA",1,1413,3436,6000,6.0,423.0
784,Commercial,"544 E EIGHTH ST, Traverse City, Michigan, USA","544 E Eighth St Suite 7, Traverse City, MI 49686, USA",1,1284,1409,4000,7.0,493.0
785,Commercial,"1199 TERRACE BLUFF DR, Traverse City, Michigan, USA","1199 Terrace Bluff Dr, Traverse City, MI 49686, USA",1,1224,3207,4000,7.3,511.0
786,Commercial,"830 COTTAGEVIEW DR STE, Traverse City, Michigan, USA",Not Found,,,,,,
787,Commercial,"0 W M 72, Traverse City, Michigan, USA","732 E Front St, Traverse City, MI 49686, USA",0,1319,1621,6000,6.3,440.0
788,Commercial,"921 W ELEVENTH ST, Traverse City, Michigan, USA","921 W Eleventh St, Traverse City, MI 49684, USA",1,1429,2220,6000,5.8,405.0
789,Commercial,"1225 WOODMERE AVE, Traverse City, Michigan, USA","1235 Woodmere Ave, Traverse City, MI 49686, USA",0,1328,5620,6000,6.3,440.0
790,Commercial,"2415 DIAMOND DR, Traverse City, Michigan, USA","5917 Diamond Dr, Traverse City, MI 49684, USA",0,1444,3118,7000,5.8,405.0
791,Commercial,"814 S GARFIELD AVE, Traverse City, Michigan, USA","814 S Garfield Ave, Traverse City, MI 49686, USA",1,1256,440,3000,6.3,440.0
792,Commercial,"3643 W FRONT ST, Traverse City, Michigan, USA","3643 W Front St STE C, Traverse City, MI 49684, USA",1,1358,12650,6000,6.0,423.0
793,Commercial,"911 HASTINGS ST, Traverse City, Michigan, USA","911 Hastings St, Traverse City, MI 49686, USA",1,1328,3665,6000,6.3,440.0
794,Commercial,"693 PARSONS RD, Traverse City, Michigan, USA",Not Found,,,,,,
795,Commercial,"130 E FRONT ST, Traverse City, Michigan, USA","134 E Front St Lower Unit, Traverse City, MI 49684, USA",0,1334,1321,6000,6.3,440.0
796,Commercial,"445 E FRONT ST, Traverse City, Michigan, USA","447 E Front St, Traverse City, MI 49686, USA",0,1280,1409,5000,6.5,458.0
797,Commercial,"0 W EIGHTH ST & S UNION ST, Traverse City, Michigan, USA",Not Found,,,,,,
798,Commercial,"0 FIRE PUMP, Traverse City, Michigan, USA",Not Found,,,,,,
