Commercial,Commercial Demand
725 S ELMWOOD AVE,931 FITZHUGH DR
697 HANNAH AVE,221 GARLAND ST STE
914 E FRONT ST,750 FITZHUGH DR
3221 LOGAN VALLEY RD,1333 YELLOW DR
2158 W SOUTH AIRPORT RD,124 CASS ST
155 GARLAND ST,603 BAY ST
1373 BARLOW ST,221 GARLAND ST
820 RED DR FIRE,123 E ELEVENTH ST
531 W FRONT ST,1035 S GARFIELD AVE
417 S UNION ST,314 E FRONT ST
113 S PARK ST,104 S UNION ST
630 S GARFIELD AVE,836 ROBINWOOD CT
3950 SILVER LAKE RD,123 S UNION ST
1061 E FRONT ST,811 S GARFIELD AVE
723 WOODMERE AVE STE,1133 W SOUTH AIRPORT RD
914 E FRONT ST UNIT,1566 US 31 NORTH
810 COTTAGEVIEW DR,1840 US 31 NORTH
121 1/2 S UNION ST,2510 AERO PARK DR
6432 MISSION RIDGE,610 WOODMERE AVE
545 S GARFIELD AVE,141 RIVERS EDGE DR
3300 CASS RD,781 FITZHUGH DR
800 COTTAGEVIEW DR STE,517 WELLINGTON ST
1231 E FRONT ST,1456 BRIGADOON CT
307 DAVIS ST,3501 MARKETPLACE CR
917 CARVER ST,2762 CASS RD
750 BROAD RD,2625 N US 31 SOUTH
3147 LOGAN VALLEY RD,305 W FRONT ST 1ST
317 E EIGHTH ST,231 E EIGHTH ST
1039 E FRONT ST,3955 N US 31 SOUTH
740 CENTRE ST,140 RIVERS EDGE DR
415 S UNION ST,13900 S WEST BAY SHORE DR
808 W FRONT ST,340 E STATE ST
1142 E EIGHTH ST,800 COTTAGEVIEW DR STE
1545 S DIVISION ST,908 SEVENTH ST
507 BAY ST,1127 S GARFIELD AVE
662 BAY HILL DR,1265 US 31 NORTH
807 AIRPORT ACCESS RD,515 S GARFIELD AVE
1132 E EIGHTH ST,225 E SIXTEENTH ST STE
808 S GARFIELD AVE,424 W FRONT ST
704 MUNSON AVE,719 WOODMERE AVE STE
920 GRANT ST,215 WASHINGTON ST
515 S UNION ST,141 RIVERS EDGE DR
738 S GARFIELD AVE,912 W FRONT ST
600 W FRONT ST,3825 SCENIC RIDGE
4340 N THREE MILE RD,144 HALL ST
0 AIRPORT HANGER,1302 S GARFIELD AVE
852 ROBINWOOD CT,1112 S GARFIELD AVE
1132 US 31 NORTH,630 E FRONT ST
1220 BOON ST,239 E FRONT ST
119 N MAPLE ST,310 CASS ST
0 MURCHIE BRIDGE,429 W FOURTEENTH ST
597 GEORGETOWN PL,1701 W SOUTH AIRPORT RD
346 E FRONT ST,135 E FRONT ST
1420 FOREST PARK DR,440 W FOURTEENTH ST
3291 RACQUET CLUB DR,1797 PARK DR
4002 FRANKE RD,1614 US 31 NORTH
803 LYNCH DR,418 MUNSON AVE
500 S UNION ST HOUSE,1371 GRAY DR
920 S GARFIELD AVE,601 FITZHUGH DR
3981 SUMAC DR,2051 TRAVERSEFIELD DR
1126 BARLOW ST,1751 BARLOW ST
1014 SIXTH ST STE,1756 BARLOW ST
813 S GARFIELD AVE,701 S ELMWOOD AVE
114 1/2 E FRONT ST,1238 S GARFIELD AVE B & C
218 E FRONT ST,520 W FOURTEENTH ST
833 PARSONS RD,1725 S UNION ST
1550 NEWPORT ST,360 MUNSON AVE
537 BAY ST,218 N CEDAR ST
130 HALL ST,1324 BARLOW ST
1150 MILLIKEN DR,2779 AERO PARK DR
109 E FRONT ST,1650 BARLOW ST
728 E FRONT ST,222 CASS ST
408 S UNION ST,122 W STATE ST
911 SILVER DR,417 MUNSON AVE
224 CIRCLE AVE,539 W FOURTEENTH ST
1621 BAY HILL TER,314 VINE ST
741 INDIAN TRAIL BLVD,2451 NORTHERN VISIONS DR
841 E FRONT ST,1130 S GARFIELD AVE
318 W TWELFTH ST,310 W FRONT ST
3333 CASS RD,407 S UNION ST
209 FAIR ST,1239 S GARFIELD AVE
2823 CASS RD,812 S GARFIELD AVE
519 W FOURTEENTH ST,237 E FRONT ST
908 W FRONT ST,128 S UNION ST STE
715 FERN ST,305 MUNSON AVE
3037 CASS RD,2829 CASS RD
2206 CASS RD,851 WOODMERE AVE
109 E FRONT ST 210 &,1683 US 31 NORTH
708 THIRD ST,770 FITZHUGH DR
1603 US 31 NORTH,3121 N KEYSTONE RD
0 TRAV HEIGHTS SKATING,2103 TRAVERSEFIELD DR
2040 TRAVERSEFIELD DR,401 S UNION ST
226 E SIXTEENTH ST,315 E FRONT ST
620 RAILROAD PL,13890 S WEST BAY SHORE DR
225 E SIXTEENTH ST STE,425 BOARDMAN AVE 1ST
214 N DIVISION ST,630 W FOURTEENTH ST
240 E TWELFTH ST,2601 AERO PARK DR
1207 WOODMERE AVE,141 RIVERS EDGE DR
430 E FRONT ST,107 E FRONT ST
1108 E EIGHTH ST,525 W FRONT ST
415 CASS ST,602 E EIGHTH ST
601 S GARFIELD AVE,1128 S GARFIELD AVE
207 1/2 CIRCLE AVE,1137 S GARFIELD AVE
921 W ELEVENTH ST,1265 US 31 NORTH
200 W GRANDVIEW PKWY,1118 E FRONT ST
1159 HASTINGS ST,700 BROAD RD
329 S UNION ST,1771 PARK DR
109 E FRONT ST,1616 W SOUTH AIRPORT RD
113 S PARK ST,133 E STATE ST
911 SILVER DR,255 MUNSON AVE
1238 S GARFIELD AVE A & G,525 W FRONT ST
3300 CASS RD,424 W FOURTEENTH ST
2869 GLEN DR,4100 FRANKE RD
727 E EIGHTH ST,2670 AERO PARK DR
1248 HASTINGS ST,1840 STULTZ DR
10777 PINE BLUFF DR,718 MUNSON AVE
505 RIVERINE DR,444 CASS ST
430 BIRCHWOOD AVE,1501 CASS ST
782 WATCH HILL LN,1373 BARLOW ST
1844 OAK HOLLOW DR,1327 W SOUTH AIRPORT RD
703 PARSONS RD,543 E EIGHTH ST
1117 CARVER ST,1313 E EIGHTH ST
324 E FRONT ST,118 MUNSON AVE
3765 OUTBACK DR,305 SIXTH ST
419 WELLINGTON ST,121 E FRONT ST
880 PARSONS RD,1764 FOREST RIDGE
232 E FRONT ST,704 MUNSON AVE
516 E FRONT ST ACAD.,515 S GARFIELD AVE
308 N CEDAR ST,227 E FRONT ST
305 W FRONT ST 2ND,10850 EAST TRAVERSE HWY
943 LYNCH DR,203 CASS ST
227 LAKE AVE,1450 CASS RD
109 E FRONT ST,610 COTTAGEVIEW DR
1443 NEWPORT ST,537 W FOURTEENTH ST
0 E FOURTEENTH ST & CASS ST,1732 BARLOW ST
1132 US 31 NORTH,122 E EIGHTH ST
145 E FRONT ST,2825 N US 31 SOUTH
0 HURON HILLS N OF ALPINE,620 WOODMERE AVE
2366 CASS RD,901 AIRPORT ACCESS RD
851 S GARFIELD AVE,2815 CASS RD
0 S GARFIELD AVE & HANNAH A,1535 S DIVISION ST
3230 RACQUET CLUB DR,148 E EIGHTH ST
229 GARLAND ST STE,2364 TRAVERSEFIELD DR
914 E FRONT ST UNIT,1492 US 31 NORTH
508 HASTINGS ST,520 W FRONT ST
1897 US 31 NORTH,160 E STATE ST
630 INCOCHEE WOODS DR,895 LYNCH DR
143 E EIGHTH ST,617 E FRONT ST
333 W GRANDVIEW PKWY,625 BAY ST
720 WATCH HILL LN,2800 AERO PARK DR
912 W FRONT ST A,830 COTTAGEVIEW DR STE
1211 W FRONT ST,806 HASTINGS ST
630 S GARFIELD AVE,1116 CARVER ST
205 1/2 E FRONT ST,1011 HASTINGS ST
1567 W SOUTH AIRPORT RD,434 E FRONT ST
940 E EIGHTH ST,104 E FRONT ST
1031 HASTINGS ST,150 1/2 E FRONT ST
522 E EIGHTH ST,816 E FRONT ST
330 SIXTH ST,800 COTTAGEVIEW DR
2861 GLEN DR,315 E FRONT ST
6536 MISSION RIDGE,903 E EIGHTH ST
1077 W SOUTH AIRPORT RD,201 E FOURTEENTH ST
1330 (C3003050) AIRPORT ACCESS RD,1610 W SOUTH AIRPORT RD
516 E FRONT ST,148 E FRONT ST
1210 WOODMERE AVE,427 S UNION ST
161 E GRANDVIEW PKWY,703 S GARFIELD AVE
104 S UNION ST,2960 N GARFIELD RD
1567 W SOUTH AIRPORT RD,2440 DAIRY SQUARE
619 E EIGHTH ST,333 W GRANDVIEW PKWY -3RD
1039 E FRONT ST,1445 S DIVISION ST
3950 SCENIC RIDGE,1040 E FRONT ST
