,Rate,Building Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
549,Commercial Demand,Religious worship ,"1139 E FRONT ST, Traverse City, Michigan, USA","1139 E Front St, Traverse City, MI 49686, USA",1,1318,7611,6000,6.3,440.0
550,Commercial Demand,Midrise Apartment,"1011 LAKE RIDGE DR, Traverse City, Michigan, USA","1011 Lake Ridge Dr, Traverse City, MI 49684, USA",1,1447,6889,7000,5.8,405.0
551,Commercial Demand,Retail Standalone,"1100 S GARFIELD AVE, Traverse City, Michigan, USA","1100 S Garfield Ave, Traverse City, MI 49686, USA",1,1394,4546,6000,6.0,423.0
552,Commercial Demand,Medium Office,"520 E FRONT ST, Traverse City, Michigan, USA","524 E Front St, Traverse City, MI 49686, USA",0,1428,5233,6000,5.8,405.0
553,Commercial Demand,Midrise Apartment,"731 FITZHUGH DR, Traverse City, Michigan, USA",Not Found,,,,,,
554,Commercial Demand,Medium Office,"1145 HASTINGS ST, Traverse City, Michigan, USA","1145 Hastings St, Traverse City, MI 49686, USA",1,1320,51128,5000,6.3,440.0
555,Commercial Demand,Retail Standalone,"115 HALL ST, Traverse City, Michigan, USA","Downtown Hall St Transfer Station, Traverse City, MI 49684, USA",0,1445,3876,7000,5.8,405.0
556,Commercial Demand,Other ,"1576 PREMIER ST, Traverse City, Michigan, USA",Not Found,,,,,,
557,Commercial Demand,Warehouse,"1020 HASTINGS ST, Traverse City, Michigan, USA","1020 Hastings St # 105, Traverse City, MI 49686, USA",1,1295,12615,5000,6.5,458.0
558,Commercial Demand,Service ,"2600 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","2600 W South Airport Rd, Traverse City, MI 49684, USA",1,1351,2519,6000,6.3,440.0
559,Commercial Demand,Other ,"303 E STATE ST, Traverse City, Michigan, USA","303 E State St, Traverse City, MI 49684, USA",1,1354,38443,6000,5.8,405.0
560,Commercial Demand,Full Service Restaurant,"851 S GARFIELD AVE, Traverse City, Michigan, USA","839 S Garfield Ave, Traverse City, MI 49686, USA",0,1325,29317,6000,6.3,440.0
561,Commercial Demand,Retail Strip Mall,"221 E FRONT ST, Traverse City, Michigan, USA","223 E Front St, Traverse City, MI 49684, USA",0,1265,2044,5000,6.8,476.0
562,Commercial Demand,Other ,"3020 CASS RD, Traverse City, Michigan, USA","2950 Cass Rd, Traverse City, MI 49684, USA",0,1451,3488,7000,5.8,405.0
563,Commercial Demand,Quick Service Restaurant,"748 MUNSON AVE STE, Traverse City, Michigan, USA","752 Munson Ave, Traverse City, MI 49686, USA",0,1352,2202,6000,6.3,440.0
564,Commercial Demand,Warehouse,"2392 CASS RD, Traverse City, Michigan, USA","2392 Cass Rd, Traverse City, MI 49684, USA",1,1312,8933,5000,6.3,440.0
565,Commercial Demand,Warehouse,"1421 WOODMERE AVE, Traverse City, Michigan, USA","1421 Woodmere Ave, Traverse City, MI 49686, USA",1,1312,3559,5000,6.3,440.0
566,Commercial Demand,Medium Office,"1000 HASTINGS ST, Traverse City, Michigan, USA","1000 Hastings St, Traverse City, MI 49686, USA",1,1373,3066,6000,6.3,440.0
567,Commercial Demand,Retail Standalone,"734 W FRONT ST, Traverse City, Michigan, USA","734 W Front St, Traverse City, MI 49684, USA",1,1347,7505,6000,6.3,440.0
568,Commercial Demand,Other ,"1260 BOON ST, Traverse City, Michigan, USA","1230 Boon St, Traverse City, MI 49686, USA",0,1314,5092,5000,6.3,440.0
569,Commercial Demand,Warehouse,"1247 BOON ST, Traverse City, Michigan, USA","1247 Boon St, Traverse City, MI 49686, USA",1,1314,25141,5000,6.3,440.0
